owner,dt_create,dt_update,description,name,photo,price,tags,type
,,,,Brittania thin arrowroot,,26/pack,,
,,,,Bittania marie,,30/family pack,,
,,,,Brittania marie cream cracker,,50/pack,,
,,,,Brittania digestive,,30/pack both,,
,,,Detergent Bar,"Brittania goodday,butter and kaju",,22/pack,,
,,,,Brittania Nice,,27/pack,,
,,,,Brittania rusk,,20/pack,,
,,,,Brittania milk Bikis,,10/pack,,
,,,,Brittania 50-50,,"10/pack,26/pack",,
,,,,Brittania Bourbon,,18/pack,,
,,,,Brittania time pass,,"10,30/pack",,
,,,Phenoel ,Cadbury Oreo,,,,
,,,,Parle hide&seek,,"30,10,5/pack",,
,,,,Horlicks(Entire Range),,"10,5/pack",,
,,,,Tiger Crunch,,"95/500 gms,44/200 gms",,
,,,,Mohan(500&200gms),,"91/250 gms,154/400 gms",,
,,,,"Kellogs(250,400 &500gms)",,30/75 gms,,
,,,,Nestle Nestea,,65/25 packs tea bag,,
,,,,Orange pekoe,,"41/100 gms,106/250 gms",,
,,,,Tata gold,,"33/100 gms,88/250 gms",,
,,,Handwash,tata premium,,58/250 gms,,
,,,,tata agni,,,,
,,,"Scotch Bite(s,m,L)",Goodricke tea,,"80/100,220/250",,
,,,Scotch Bite table wipes,Orange pekoe,,140/100 gms,,
,,,Scotch Bite Floor wipes,Green Tea barnebeg,,"10/pack,102/250 gms",,
,,,Sponge,Goodricke Khas,,"24/small,60/big",,
,,,Shampoo,Dove (Small & Big),,"120/regular pack,40/single",,
,,,,Park Avenue,,"56/brazillian orange,36/patchouli",,
,,,,"Fiama Di Wills brazilian orange,patchouli",,"10,24,5/packs",,
,,,Hair Oil,"Lux pink, green, white,sandle",,"41,26,5/pack",,
,,,,"Dettol regular,cool,skin care(pink)",,"10,5/pack",,
,,,,"Life bouy lemon,neem,total",,"23/pack,10/pack",,
,,,,"Cinthol deo,confidence,cool",,24/pack,,
,,,,Margo neem,,"20,36/ pack",,
,,,,Pears,,"24,10/pack",,
,,,,"Vivel green tea, alo vera",,32/pack,,
,,,,Mysore sandal,,10/pack,,
,,,,Santoor,,"192/2 kg tide plus, 96/1 kg,48,500 gms,10/ pack,1/pack",,
,,,,"Tide Plus  (10/-, 500gm, 1Kg)",,"64/1 kg,32/500 gms,10/pack",,
,,,,"Tide Naturals (10/-, 500gm, 1Kg)",,"86/kg,43/500 gms,10/pack",,
